Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,2.867000,2.890000,2.798000,2.819000,2.707671,39628440
2019-04-25,2.815000,2.841000,2.783000,2.815000,2.703829,21935743
2019-04-26,2.828000,2.858000,2.802000,2.839000,2.726882,10352749
2019-04-29,2.820000,2.919000,2.810000,2.919000,2.803722,22023790
2019-04-30,2.900000,2.910000,2.787000,2.839000,2.726882,28978753
2019-05-02,2.857000,2.923000,2.819000,2.866000,2.752815,18331015
2019-05-03,2.880000,2.903000,2.858000,2.878000,2.764341,13493332
2019-05-06,2.820000,2.855000,2.803000,2.842000,2.729763,10094843
2019-05-07,2.848000,2.872000,2.792000,2.792000,2.681738,24165015
2019-05-08,2.790000,2.828000,2.760000,2.827000,2.715355,24438320
2019-05-09,2.790000,2.805000,2.757000,2.762000,2.652922,10741620
2019-05-10,2.798000,2.801000,2.745000,2.747000,2.638515,21330880
2019-05-13,2.750000,2.759000,2.712000,2.732000,2.624107,12766820
2019-05-14,2.750000,2.759000,2.702000,2.718000,2.610660,11686823
2019-05-15,2.721000,2.734000,2.670000,2.724000,2.616423,12699038
2019-05-16,2.728000,2.807000,2.710000,2.807000,2.696145,12471594
2019-05-17,2.793000,2.817000,2.764000,2.789000,2.678856,13591663
2019-05-20,2.790000,2.811000,2.754000,2.770000,2.660606,12714106
2019-05-21,2.781000,2.809000,2.746000,2.805000,2.694224,12674071
2019-05-22,2.799000,2.825000,2.771000,2.780000,2.670212,17179797
2019-05-23,2.755000,2.780000,2.736000,2.767000,2.657725,19069104
2019-05-24,2.779000,2.806000,2.762000,2.763000,2.653883,13031097
2019-05-27,2.786000,2.819000,2.768000,2.782000,2.672133,4502323
2019-05-28,2.775000,2.828000,2.741000,2.825000,2.713434,17547955
2019-05-29,2.780000,2.804000,2.756000,2.786000,2.675975,12909088
2019-05-30,2.817000,2.848000,2.807000,2.828000,2.716316,8461391
2019-05-31,2.790000,2.805000,2.751000,2.758000,2.649080,13303909
2019-06-03,2.743000,2.743000,2.685000,2.709000,2.602015,23104249
2019-06-04,2.700000,2.813000,2.699000,2.812000,2.700948,18429167
2019-06-05,2.785000,2.810000,2.703000,2.713000,2.605858,21172302
2019-06-06,2.725000,2.766000,2.637000,2.658000,2.553030,21438411
2019-06-07,2.672000,2.672000,2.602000,2.616000,2.512688,25176399
2019-06-10,2.636000,2.677000,2.619000,2.677000,2.571279,13147779
2019-06-11,2.670000,2.696000,2.630000,2.630000,2.526135,17586815
2019-06-12,2.600000,2.618000,2.581000,2.586000,2.483873,21404445
2019-06-13,2.585000,2.608000,2.551000,2.587000,2.484833,13186521
2019-06-14,2.577000,2.594000,2.566000,2.577000,2.475228,7922831
2019-06-17,2.590000,2.600000,2.566000,2.566000,2.464663,7425387
2019-06-18,2.566000,2.566000,2.510000,2.532000,2.432006,22234235
2019-06-19,2.537000,2.559000,2.519000,2.531000,2.431045,26715597
2019-06-20,2.537000,2.545000,2.468000,2.475000,2.377257,23467779
2019-06-21,2.482000,2.509000,2.453000,2.464000,2.366691,28233722
2019-06-24,2.466000,2.497000,2.440000,2.445000,2.348441,12804673
2019-06-25,2.440000,2.440000,2.400000,2.438000,2.341718,16811674
2019-06-26,2.443000,2.490000,2.439000,2.459000,2.361889,15226536
2019-06-27,2.475000,2.504000,2.457000,2.488000,2.389743,14529204
2019-06-28,2.495000,2.519000,2.490000,2.518000,2.418558,10801296
2019-07-01,2.554000,2.571000,2.532000,2.541000,2.440650,17757161
2019-07-02,2.547000,2.547000,2.479000,2.486000,2.387822,15101155
2019-07-03,2.479000,2.552000,2.455000,2.550000,2.449295,11770908
2019-07-04,2.553000,2.632000,2.550000,2.632000,2.528056,19440069
2019-07-05,2.641000,2.663000,2.592000,2.618000,2.514609,21646293
2019-07-08,2.612000,2.644000,2.540000,2.549000,2.448334,12936145
2019-07-09,2.538000,2.547000,2.495000,2.536000,2.435848,21440965
2019-07-10,2.535000,2.613000,2.535000,2.561000,2.459861,11242050
2019-07-11,2.574000,2.574000,2.511000,2.554000,2.453137,10406484
2019-07-12,2.565000,2.599000,2.561000,2.561000,2.459861,10481213
2019-07-15,2.580000,2.591000,2.555000,2.560000,2.458900,9710682
2019-07-16,2.562000,2.617000,2.543000,2.600000,2.497320,12885224
2019-07-17,2.600000,2.600000,2.506000,2.506000,2.407032,16877200
2019-07-18,2.470000,2.522000,2.454000,2.509000,2.409914,17259371
2019-07-19,2.510000,2.527000,2.411000,2.413000,2.317705,20552242
2019-07-22,2.422000,2.436000,2.384000,2.395000,2.300416,13057113
2019-07-23,2.419000,2.461000,2.405000,2.453000,2.356126,10672613
2019-07-24,2.442000,2.456000,2.416000,2.445000,2.348441,9924673
2019-07-25,2.460000,2.512000,2.425000,2.434000,2.337876,17180680
2019-07-26,2.400000,2.404000,2.259000,2.272000,2.182274,47274904
2019-07-29,2.291000,2.321000,2.263000,2.296000,2.205326,21274380
2019-07-30,2.301000,2.302000,2.229000,2.240000,2.151537,21618095
2019-07-31,2.250000,2.279000,2.232000,2.235000,2.146735,24979037
2019-08-01,2.237000,2.293000,2.235000,2.264000,2.174589,15363872
2019-08-02,2.220000,2.243000,2.200000,2.220000,2.132327,15378830
2019-08-05,2.200000,2.249000,2.200000,2.231000,2.142893,12162805
2019-08-06,2.237000,2.248000,2.192000,2.192000,2.105433,18299659
2019-08-07,2.201000,2.211000,2.163000,2.204000,2.116959,19288128
2019-08-08,2.231000,2.252000,2.206000,2.245000,2.156340,14948975
2019-08-09,2.231000,2.238000,2.175000,2.187000,2.100631,17236330
2019-08-12,2.205000,2.205000,2.104000,2.104000,2.020908,12880952
2019-08-13,2.100000,2.138000,2.080000,2.080000,1.997856,26982657
2019-08-14,2.078000,2.078000,2.007000,2.012000,1.932542,22964087
2019-08-15,2.020000,2.042000,1.982000,2.008000,1.928699,24881914
2019-08-16,2.012000,2.099000,1.982000,2.099000,2.016106,32268002
2019-08-19,2.113000,2.149000,2.072000,2.072000,1.990172,13015852
2019-08-20,2.062000,2.070000,2.010000,2.015000,1.935423,11876620
2019-08-21,2.018000,2.043000,2.002000,2.002000,1.922937,7831983
2019-08-22,2.000000,2.087000,2.000000,2.061000,1.979607,12761912
2019-08-23,2.088000,2.097000,2.028000,2.028000,1.947910,11279091
2019-08-26,2.020000,2.057000,2.014000,2.044000,1.963278,6668901
2019-08-27,2.045000,2.073000,2.036000,2.048000,1.967120,12514636
2019-08-28,2.050000,2.062000,2.035000,2.049000,1.968080,12116323
2019-08-29,2.043000,2.095000,2.043000,2.079000,1.996896,9252981
2019-08-30,2.085000,2.095000,2.048000,2.061000,1.979607,9915322
2019-09-02,2.054000,2.056000,2.015000,2.015000,1.935423,7310760
